state,code_state,district,code_district,code_state_district,year,population_total,area_km2,population_growth,housing_total,housing_occupied,housing_empty,household_total,household_size_avg,sex_male,sex_female,nationality_citizen,nationality_non_citizen,ethnicity_bumi,ethnicity_chinese,ethnicity_indian,ethnicity_other,age_0_14,age_15_64,age_65_above,marital_of_age,marital_never_married,marital_married,marital_widowed,marital_separated,marital_unknown,religion_muslim,religion_christian,religion_buddhist,religion_hindu,religion_other,religion_atheist,religion_unknown,density_urban,density_rural
Sarawak,13,Kuching,1,13_1,1970,212806,1498,,,,,,,107176,105630,212806,,103476,104193,,5137,,,,,,,,,,,,,,,,,,
Sarawak,13,Kuching,1,13_1,1980,299330,1498,3.4,,,,,,150336,148994,299330,,160422,132239,2291,4378,119443,169669,10218,,,,,,,,,,,,,,72555,226775
Sarawak,13,Kuching,1,13_1,1991,369200,1498,2.1,76755,65876,10879,68842,5.2,184293,184907,366978,2222,206185,154113,2465,4215,127235,228652,13313,280847,130735,137733,10497,1882,,136170,98385,77871,1515,39949,13872,152,277905,91295
Sarawak,13,Kuching,1,13_1,2000,494109,1498,2.9,108270,95483,12787,97809,4.9,247537,246572,485782,8327,293685,188823,2475,799,155427,319450,19232,338682,124562,201253,10549,2318,,195396,149116,105843,1777,27963,8514,5500,422240,71869
Sarawak,13,Kuching,1,13_1,2010,598617,1498,1.9,145869,131582,14287,133496,4.4,303499,295118,588991,9626,364225,219587,3086,2093,159510,406041,33066,439107,139381,282220,14018,3488,,228007,150610,174184,1792,36574,4510,2940,522482,76135
Sarawak,13,Kuching,1,13_1,2020,609205,1498,0.2,180026,136292,43734,142732,4.3,307666,301539,599228,9977,376481,218716,2562,1469,133423,426714,49068,475782,187367,256341,19738,10819,1517,247593,199223,149807,1644,2426,6994,1518,558113,51092
Sarawak,13,Bau,2,13_2,1970,29570,884,,,,,,,15005,14565,29570,,20642,8769,,159,,,,,,,,,,,,,,,,,,
Sarawak,13,Bau,2,13_2,1980,31449,884,0.6,,,,,,15685,15764,31449,,23417,7982,20,30,14759,15513,1177,,,,,,,,,,,,,,,31449
Sarawak,13,Bau,2,13_2,1991,35958,884,1.3,7734,6565,1169,6723,5,18047,17911,35826,132,27134,8605,38,49,14517,19698,1743,26410,11767,13081,1330,232,,3491,18926,5088,22,7412,1019,,,35958
Sarawak,13,Bau,2,13_2,2000,41824,884,1.5,9323,7820,1503,7913,5.3,21499,20325,41589,235,32728,8778,63,20,15163,24201,2460,26661,8564,16490,1333,274,,3961,26310,5622,12,5423,496,,,41824
Sarawak,13,Bau,2,13_2,2010,52760,884,2.3,11680,10875,805,10947,4.8,27132,25628,51599,1161,42212,9172,128,87,16697,32288,3775,36063,11795,22022,1897,349,,5107,32824,8013,23,6393,73,327,,52760
Sarawak,13,Bau,2,13_2,2020,52643,884,0,15187,11176,4011,11279,4.7,27339,25304,51525,1118,42666,8654,93,112,10647,37133,4863,41996,16948,21947,2283,744,74,6234,38422,7219,14,353,327,74,,52643
Sarawak,13,Lundu,3,13_3,1970,17856,1812,,,,,,,9204,8652,17856,,14518,3314,,24,,,,,,,,,,,,,,,,,,
Sarawak,13,Lundu,3,13_3,1980,21576,1812,1.9,,,,,,11083,10493,21576,,18003,3513,8,52,9831,11073,672,,,,,,,,,,,,,,,21576
Sarawak,13,Lundu,3,13_3,1991,24493,1812,1.3,5302,4606,696,4737,4.8,12670,11823,23979,514,20442,3451,25,61,9887,13611,995,17739,7644,9105,816,174,,8456,8317,2199,21,4514,927,,,24493
Sarawak,13,Lundu,3,13_3,2000,27345,1812,1.1,6943,5452,1491,5498,5,13950,13395,26829,516,23408,3375,20,26,10708,15258,1379,16637,4824,10800,810,203,,9849,11617,2446,12,2850,571,,,27345
